Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=VCC Pin=C2-2
Removed Member From Class: ClassName=3102_Sheet Member=C2
Change component parameters: Designator = "R1"; Footprint = "J1-0603"; UniqueID = "\RIPLSATG"
Add component (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "12/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8.38 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.1 inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.08 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55 degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.38 mm, Tail Length 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TSW-102-07-S-S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rows"; Value = "1"; VariantName = "[No Variations]"
Added Component: Designator=R2(RESC1608X55X30NL20T20)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERA3AEB2492V"; VariantName = "[No Variations]"
Added Component: Designator=R3(RESC1608X55X25ML10T15)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RT0603DRE0710KL"; VariantName = "[No Variations]"
Added Component: Designator=R4(RESC1608X55X25LL10T15)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RT0603BRD0711KL"; VariantName = "[No Variations]"
Added Component: Designator=U4(28P3)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.atmel.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/8271.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Summary"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/8271S.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "revD, May-2011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "28-lead (0.300"/7.62mm Wide) Plastic Dual Inline Package (PDIP)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "28P3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "revB, Sep-2001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RevisionNote"; Value = "DatasheetVersion updated. URLs added."; VariantName = "[No Variations]"
Added Component: Designator=Y1(R38)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Case/Package"; Value = "Metal"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Crystals"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6733/9b-6733741.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6733/9b-6733741.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "30R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "16MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Stability"; Value = "50ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Tolerance"; Value = "50ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.145inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.453inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "20pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TXC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "9B-16.000MBBK-B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Crystal, Thru-Hole; 2 Leads; Body 3.1 x 8.2 mm (Dia.xH)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "R38"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.30000, 10=0.25000, 50=0.22500, 100=0.20000, 500=0.19000, 1000=0.16000, 2500=0.15000, 5000=0.14500, 10000=0.14000 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2492"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "887-2015-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.197inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=VCC Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=VCC Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=VCC Pin=J1-21
Added Pin To Net: NetName=AVCC Pin=R4-1
Added Pin To Net: NetName=VCC Pin=R4-2
Added Pin To Net: NetName=GND Pin=U4-8
Added Pin To Net: NetName=GND Pin=U4-22
Change Net Name : Old Net Name=VCC New Net Name=AREF
Added Pin To Net: NetName=ADC4 Pin=U4-27
Added Net: Name=ADC4
Added Pin To Net: NetName=ADC5 Pin=U4-28
Added Net: Name=ADC5
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=NetC4_2 Pin=R1-2
Added Pin To Net: NetName=NetC4_2 Pin=U3-5
Added Net: Name=NetC4_2
Added Pin To Net: NetName=NetP1_1 Pin=P1-1
Added Pin To Net: NetName=NetP1_1 Pin=P2-1
Added Net: Name=NetP1_1
Added Pin To Net: NetName=NetP2_2 Pin=P2-2
Added Net: Name=NetP2_2
Added Pin To Net: NetName=NetP4_1 Pin=P5-1
Added Net: Name=NetP4_1
Added Pin To Net: NetName=NetP5_2 Pin=P5-2
Added Net: Name=NetP5_2
Added Pin To Net: NetName=NetR2_1 Pin=R2-1
Added Pin To Net: NetName=NetR2_1 Pin=U2-1
Added Net: Name=NetR2_1
Added Pin To Net: NetName=NetR2_2 Pin=R2-2
Added Pin To Net: NetName=NetR2_2 Pin=U2-3
Added Net: Name=NetR2_2
Added Pin To Net: NetName=RESET Pin=J1-1
Added Pin To Net: NetName=RESET Pin=R3-2
Added Pin To Net: NetName=RESET Pin=U4-1
Added Net: Name=RESET
Added Pin To Net: NetName=XTAL1 Pin=C6-2
Added Pin To Net: NetName=XTAL1 Pin=J1-9
Added Pin To Net: NetName=XTAL1 Pin=U4-9
Added Pin To Net: NetName=XTAL1 Pin=Y1-1
Added Net: Name=XTAL1
Added Pin To Net: NetName=XTAL2 Pin=C7-2
Added Pin To Net: NetName=XTAL2 Pin=J1-10
Added Pin To Net: NetName=XTAL2 Pin=U4-10
Added Pin To Net: NetName=XTAL2 Pin=Y1-2
Added Net: Name=XTAL2
Added Member To Class: ClassName=3102_Sheet Member=Component C3 CC0603KRX5R6BB225
Added Member To Class: ClassName=3102_Sheet Member=Component C4 0603YG474ZAT2A
Added Member To Class: ClassName=ard_connector Member=Component C5 0603YG474ZAT2A
Added Member To Class: ClassName=ard_connector Member=Component C6 CL10C220JB8NNNC
Added Member To Class: ClassName=ard_connector Member=Component C7 CL10C220JB8NNNC
Added Member To Class: ClassName=3102_Sheet Member=Component P1 108-0904-001
Added Member To Class: ClassName=3102_Sheet Member=Component P2 TSW-102-07-S-S
Added Member To Class: ClassName=3102_Sheet Member=Component P5 TSW-102-07-S-S
Added Member To Class: ClassName=3102_Sheet Member=Component R2 ERA3AEB2492V
Added Member To Class: ClassName=ard_connector Member=Component R3 RT0603DRE0710KL
Added Member To Class: ClassName=ard_connector Member=Component R4 RT0603BRD0711KL
Added Member To Class: ClassName=ard_connector Member=Component U4 ATmega328P-PU
Added Member To Class: ClassName=ard_connector Member=Component Y1 XTAL
